Date,Tournament,Category,Round,Opponent,Score,Opp Score,"Result (Won = 1, Lost = 0)"
6/5/2019,World Championships,WC,Final,John Higgins,18,9,1
4/5/2019,World Championships,WC,Semi Final,Gary Wilson,17,11,1
1/5/2019,World Championships,WC,Quarter Final,Stephen Maguire,13,6,1
29/04/2019,World Championships,WC,Last 16,Ding Junhui,13,9,1
24/04/2019,World Championships,WC,Last 32,Thepchaiya Un Nooh,10,9,1
2/4/2019,China Open,R,Last 64,Robbie Williams,5,6,0
21/03/2019,Tour Championship,R,Semi Final,Ronnie O Sullivan,9,10,0
20/03/2019,Tour Championship,R,Quarter Final,Mark Williams,9,8,1
8/3/2019,Players Championship,R,Semi Final,Neil Robertson,4,6,0
6/3/2019,Players Championship,R,Quarter Final,Jack Lisowski,6,5,1
5/3/2019,Players Championship,R,Last 16,Jimmy Robertson,6,0,1
19/02/2019,China Open,R,Last 128,Jak Jones,6,2,1
13/02/2019,Welsh Open,R,Last 64,Duane Jones,2,4,0
11/2/2019,Welsh Open,R,Last 128,Harvey Chandler,4,0,1
10/2/2019,World Grand Prix,R,Final,Ali Carter,10,6,1
9/2/2019,World Grand Prix,R,Semi Final,Barry Hawkins,6,5,1
8/2/2019,World Grand Prix,R,Quarter Final,Mark Selby,5,1,1
6/2/2019,World Grand Prix,R,Last 16,Tom Ford,4,2,1
5/2/2019,World Grand Prix,R,Last 32,Stuart Carrington,4,3,1
1/2/2019,German Masters,R,Quarter Final,Stephen Maguire,2,5,0
31/01/2019,German Masters,R,Last 16,Yan Bingtao,5,1,1
30/01/2019,German Masters,R,Last 32,Li Hang,5,2,1
21/12/2018,German Masters,R,Last 64,Lukas Kleckers,5,0,1
18/12/2018,German Masters,R,Last 128,Robbie Williams,5,2,1
15/12/2018,Scottish Open,R,Semi Final,Shaun Murphy,3,6,0
14/12/2018,Scottish Open,R,Quarter Final,Stuart Carrington,5,3,1
13/12/2018,Scottish Open,R,Last 16,Ian Burns,4,1,1
13/12/2018,Scottish Open,R,Last 32,Zhang Jiankang,4,1,1
12/12/2018,Scottish Open,R,Last 64,Ben Woollaston,4,0,1
11/12/2018,Scottish Open,R,Last 128,Jimmy White,4,0,1
6/12/2018,UK Championship,UK,Last 16,Joe Perry,4,6,0
4/12/2018,UK Championship,UK,Last 32,Mark King,6,2,1
2/12/2018,UK Championship,UK,Last 64,Dominic Dale,6,5,1
27/11/2018,UK Championship,UK,Last 128,David Lilley,6,0,1
18/11/2018,Northern Ireland Open,R,Final,Ronnie O Sullivan,9,7,1
17/11/2018,Northern Ireland Open,R,Semi Final,Eden Sharav,6,3,1
16/11/2018,Northern Ireland Open,R,Quarter Final,Ryan Day,5,3,1
15/11/2018,Northern Ireland Open,R,Last 16,Luca Brecel,4,2,1
15/11/2018,Northern Ireland Open,R,Last 32,Jack Lisowski,4,0,1
14/11/2018,Northern Ireland Open,R,Last 64,Stuart Carrington,4,0,1
13/11/2018,Northern Ireland Open,R,Last 128,Matt Selt,4,2,1
1/11/2018,International Championship,R,Quarter Final,Jack Lisowski,2,6,0
31/10/2018,International Championship,R,Last 16,Yan Bingtao,6,1,1
30/10/2018,International Championship,R,Last 32,Michael Holt,6,1,1
29/10/2018,International Championship,R,Last 64,Alan McManus,6,0,1
18/10/2018,English Open,R,Last 16,Ryan Day,2,4,0
18/10/2018,English Open,R,Last 32,Jack Lisowski,4,2,1
17/10/2018,English Open,R,Last 64,Zhao Xintong,4,3,1
16/10/2018,English Open,R,Last 128,Robin Hull,4,1,1
12/10/2018,International Championship,R,Last 128,Lu Ning,6,4,1
3/10/2018,European Masters,R,Last 32,Tian Pengfei,2,4,0
2/10/2018,European Masters,R,Last 64,Liam Highfield,4,0,1
1/10/2018,European Masters,R,Last 128,Martin O Donnell,4,0,1
28/09/2018,China Championship,R,Quarter Final,John Higgins,3,5,0
27/09/2018,China Championship,R,Last 16,Yan Bingtao,5,1,1
26/09/2018,China Championship,R,Last 32,Jamie Jones,5,2,1
25/09/2018,China Championship,R,Last 64,Rhys Clark,5,0,1
22/08/2018,China Championship,R,Last 128,Eden Sharav,5,3,1
8/8/2018,World Open,R,Last 32,Gary Wilson,3,5,0
7/8/2018,World Open,R,Last 64,Martin O Donnell,5,1,1
8/7/2018,World Open,R,Last 128,Kishan Hirani,5,0,1
