Tournament,Category,Score,Opp Score,"Result (Won = 1, Lost = 0)"
World Championships,WC,18,9,1
World Championships,WC,17,11,1
World Championships,WC,13,6,1
World Championships,WC,13,9,1
World Championships,WC,10,9,1
China Open,R,5,6,0
Tour Championship,R,9,10,0
Tour Championship,R,9,8,1
Players Championship,R,4,6,0
Players Championship,R,6,5,1
Players Championship,R,6,0,1
China Open,R,6,2,1
Welsh Open,R,2,4,0
Welsh Open,R,4,0,1
World Grand Prix,R,10,6,1
World Grand Prix,R,6,5,1
World Grand Prix,R,5,1,1
World Grand Prix,R,4,2,1
World Grand Prix,R,4,3,1
German Masters,R,2,5,0
German Masters,R,5,1,1
German Masters,R,5,2,1
German Masters,R,5,0,1
German Masters,R,5,2,1
Scottish Open,R,3,6,0
Scottish Open,R,5,3,1
Scottish Open,R,4,1,1
Scottish Open,R,4,1,1
Scottish Open,R,4,0,1
Scottish Open,R,4,0,1
UK Championship,UK,4,6,0
UK Championship,UK,6,2,1
UK Championship,UK,6,5,1
UK Championship,UK,6,0,1
Northern Ireland Open,R,9,7,1
Northern Ireland Open,R,6,3,1
Northern Ireland Open,R,5,3,1
Northern Ireland Open,R,4,2,1
Northern Ireland Open,R,4,0,1
Northern Ireland Open,R,4,0,1
Northern Ireland Open,R,4,2,1
International Championship,R,2,6,0
International Championship,R,6,1,1
International Championship,R,6,1,1
International Championship,R,6,0,1
English Open,R,2,4,0
English Open,R,4,2,1
English Open,R,4,3,1
English Open,R,4,1,1
International Championship,R,6,4,1
European Masters,R,2,4,0
European Masters,R,4,0,1
European Masters,R,4,0,1
China Championship,R,3,5,0
China Championship,R,5,1,1
China Championship,R,5,2,1
China Championship,R,5,0,1
China Championship,R,5,3,1
World Open,R,3,5,0
World Open,R,5,1,1
World Open,R,5,0,1
World Championships,WC,12,13,0
World Championships,WC,13,9,1
World Championships,WC,10,9,1
Players Championship,R,5,6,0
Players Championship,R,6,1,1
Players Championship,R,6,4,1
Welsh Open,R,1,4,0
Welsh Open,R,4,3,1
World Grand Prix,R,1,4,0
German Masters,R,1,6,0
German Masters,R,5,3,1
German Masters,R,5,3,1
German Masters,R,5,3,1
China Open,R,5,6,0
German Masters,R,5,4,1
German Masters,R,5,3,1
Scottish Open,R,4,6,0
Scottish Open,R,5,2,1
Scottish Open,R,4,3,1
Scottish Open,R,4,0,1
Scottish Open,R,4,2,1
Scottish Open,R,4,0,1
UK Championship,UK,2,6,0
UK Championship,UK,6,0,1
UK Championship,UK,6,0,1
Northern Ireland Open,R,2,4,0
Shanghai Masters,R,3,10,0
Shanghai Masters,R,6,3,1
Shanghai Masters,R,5,0,1
Shanghai Masters,R,5,0,1
Shanghai Masters,R,5,0,1
Shanghai Masters,R,5,0,1
International Championship,R,5,6,0
International Championship,R,6,3,1
International Championship,R,6,3,1
International Championship,R,6,0,1
English Open,R,3,4,0
English Open,R,4,1,1
English Open,R,4,0,1
English Open,R,4,3,1
Shanghai Masters,R,5,2,1
European Masters,R,9,7,1
European Masters,R,6,1,1
European Masters,R,4,3,1
European Masters,R,4,2,1
European Masters,R,4,3,1
European Masters,R,4,1,1
European Masters,R,4,0,1
International Championship,R,6,0,1
China Championship,R,3,5,0
China Championship,R,5,2,1
World Open,R,0,5,0
China Championship,R,5,1,1
World Championships,WC,8,10,0
China Open,R,3,5,0
China Open,R,5,3,1
China Open,R,5,0,1
China Open,R,5,1,1
China Open,R,5,0,1
Players Championship,PTF,10,8,1
Players Championship,PTF,6,4,1
Players Championship,PTF,5,3,1
Players Championship,PTF,5,2,1
Gibraltar Open,R,2,4,0
Gibraltar Open,R,4,2,1
Gibraltar Open,R,4,1,1
Gibraltar Open,R,4,1,1
Gibraltar Open,R,4,1,1
Gibraltar Open,R,4,1,1
Gibraltar Open,R,4,0,1
Welsh Open,R,8,9,0
Welsh Open,R,6,3,1
Welsh Open,R,5,4,1
Welsh Open,R,4,1,1
Welsh Open,R,4,0,1
Welsh Open,R,4,2,1
Welsh Open,R,4,1,1
World Grand Prix,R,1,4,0
World Grand Prix,R,4,2,1
Scottish Open,R,5,6,0
Scottish Open,R,5,3,1
Scottish Open,R,4,2,1
Scottish Open,R,4,0,1
Scottish Open,R,4,0,1
Scottish Open,R,4,0,1
German Masters,R,1,5,0
German Masters,R,5,0,1
UK Championship,UK,2,6,0
UK Championship,UK,6,2,1
Northern Ireland Open,R,-1,-1,0
International Championship,UK,4,9,0
International Championship,UK,6,5,1
International Championship,UK,6,3,1
International Championship,UK,6,1,1
International Championship,UK,6,3,1
